"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Shrug (Dumbbell)",,"",2,"normal",56,12,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Shrug (Dumbbell)",,"",3,"normal",56,10,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lying Neck Curls (Weighted)",,"",0,"normal",5,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lying Neck Curls (Weighted)",,"",1,"normal",5,8,,,
"Routine 4 - Upper (Pull)","1 Sep 2026, 19:44","1 Sep 2026, 21:03","","Lying Neck Curls (Weighted)",,"",2,"normal",5,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Romanian Deadlift (Barbell)",,"",0,"normal",90,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Romanian Deadlift (Barbell)",,"",1,"normal",90,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Romanian Deadlift (Barbell)",,"",2,"normal",90,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Romanian Deadlift (Barbell)",,"",3,"normal",90,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Hip Thrust (Barbell)",,"",0,"normal",95,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Hip Thrust (Barbell)",,"",1,"normal",95,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Hip Thrust (Barbell)",,"",2,"normal",95,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Hip Thrust (Barbell)",,"",3,"normal",95,8,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Lying Leg Curl (Machine)",,"",0,"normal",35,12,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Lying Leg Curl (Machine)",,"",1,"normal",35,12,,,
"Routine 1 - Lower","31 Aug 2026, 17:47","31 Aug 2026, 18:34","","Lying Leg Curl (Machine)",,"",2,"normal",35,12,,,
