"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Hip Adduction (Machine)",,"",0,"normal",53,15,,,
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Hip Adduction (Machine)",,"",1,"normal",61,15,,,
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Hip Adduction (Machine)",,"",2,"normal",61,15,,,
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Cable Crunch",,"",0,"normal",60,12,,,
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Cable Crunch",,"",1,"normal",70,12,,,
"Routine 3 - Lower (Squat)","27 Jul 2026, 19:16","27 Jul 2026, 20:40","","Cable Crunch",,"",2,"normal",70,12,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Lat Pulldown (Machine)",,"",0,"normal",75,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Lat Pulldown (Machine)",,"",1,"normal",85,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Lat Pulldown (Machine)",,"",2,"normal",90,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Lat Pulldown (Machine)",,"",3,"normal",90,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Iso-Lateral Row (Machine)",,"",0,"normal",65,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Iso-Lateral Row (Machine)",,"",1,"normal",75,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Iso-Lateral Row (Machine)",,"",2,"normal",80,8,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Iso-Lateral Row (Machine)",,"",3,"normal",85,7,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Face Pull",,"",0,"normal",25,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Face Pull",,"",1,"normal",30,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Face Pull",,"",2,"normal",35,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",20,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",20,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",20,15,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Bicep Curl (Dumbbell)",,"",0,"normal",7.5,12,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Bicep Curl (Dumbbell)",,"",1,"normal",9,12,,,
"Routine 4 - Upper (Pull)","22 Jul 2026, 19:33","22 Jul 2026, 20:28","","Bicep Curl (Dumbbell)",,"",2,"normal",9,12,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Barbell)",,"",0,"normal",65,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Barbell)",,"",1,"normal",65,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Barbell)",,"",2,"normal",65,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Bench Press (Barbell)",,"",3,"normal",65,6,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Incline Bench Press (Dumbbell)",,"",0,"normal",,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Incline Bench Press (Dumbbell)",,"",1,"normal",,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Incline Bench Press (Dumbbell)",,"",2,"normal",,6,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Overhead Press (Dumbbell)",,"",0,"normal",28,6,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Overhead Press (Dumbbell)",,"",1,"normal",28,7,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Overhead Press (Dumbbell)",,"",2,"normal",28,6,,,
"Routine 2 - Upper (Push)","21 Jul 2026, 19:07","21 Jul 2026, 20:20","","Lateral Raise (Dumbbell)",,"",0,"normal",7.5,15,,,
